waypoint_idx,x,y,right_ok,left_ok,ego_lane,road_width,link_id
0,-131.690,-428.331,0,0,1,3.50,A2256W000748
1,-131.450,-427.892,0,0,1,3.50,A2256W000748
2,-131.210,-427.454,0,0,1,3.50,A2256W000748
3,-130.969,-427.015,0,0,1,3.50,A2256W000748
4,-130.729,-426.577,0,0,1,3.50,A2256W000748
5,-130.489,-426.138,0,0,1,3.50,A2256W000748
6,-130.245,-425.702,0,0,1,3.50,A2256W000748
7,-130.001,-425.266,0,0,1,3.50,A2256W000748
8,-129.757,-424.829,0,0,1,3.50,A2256W000748
9,-129.512,-424.393,0,0,1,3.50,A2256W000748
10,-129.268,-423.957,0,0,1,3.50,A2256W000748
11,-129.024,-423.520,0,0,1,3.50,A2256W000748
12,-128.780,-423.084,0,0,1,3.50,A2256W000748
13,-128.536,-422.648,0,0,1,3.50,A2256W000748
14,-128.292,-422.211,0,0,1,3.50,A2256W000748
15,-128.047,-421.775,0,0,1,3.50,A2256W000748
16,-127.803,-421.339,0,0,1,3.50,A2256W000748
17,-127.559,-420.902,0,0,1,3.50,A2256W000748
18,-127.315,-420.466,0,0,1,3.50,A2256W000748
19,-127.071,-420.030,0,0,1,3.50,A2256W000748
20,-126.827,-419.593,0,0,1,3.50,A2256W000748
21,-126.582,-419.157,0,0,1,3.50,A2256W000748
22,-126.340,-418.720,0,0,1,3.50,A2256W000748
23,-126.097,-418.283,0,0,1,3.50,A2256W000748
24,-125.855,-417.845,0,0,1,3.50,A2256W000748
25,-125.612,-417.408,0,0,1,3.50,A2256W000748
26,-125.370,-416.971,0,0,1,3.50,A2256W000748
27,-125.127,-416.534,0,0,1,3.50,A2256W000748
28,-124.885,-416.096,0,0,1,3.50,A2256W000748
29,-124.642,-415.659,0,0,1,3.50,A2256W000748
30,-124.399,-415.222,0,0,1,3.50,A2256W000748
31,-124.156,-414.785,0,0,1,3.50,A2256W000748
32,-123.913,-414.348,0,0,1,3.50,A2256W000748
33,-123.670,-413.911,0,0,1,3.50,A2256W000748
34,-123.428,-413.474,0,0,1,3.50,A2256W000748
35,-123.185,-413.037,0,0,1,3.50,A2256W000748
36,-122.942,-412.600,0,0,1,3.50,A2256W000748
37,-122.699,-412.163,0,0,1,3.50,A2256W000748
38,-122.456,-411.726,0,0,1,3.50,A2256W000748
39,-122.212,-411.289,0,0,1,3.50,A2256W000748
40,-121.968,-410.853,0,0,1,3.50,A2256W000748
41,-121.724,-410.416,0,0,1,3.50,A2256W000748
42,-121.480,-409.980,0,0,1,3.50,A2256W000748
43,-121.237,-409.543,0,0,1,3.50,A2256W000748
44,-120.993,-409.107,0,0,1,3.50,A2256W000748
45,-120.749,-408.670,0,0,1,3.50,A2256W000748
46,-120.505,-408.234,0,0,1,3.50,A2256W000748
47,-120.261,-407.797,0,0,1,3.50,A2256W000748
48,-120.018,-407.360,0,0,1,3.50,A2256W000748
49,-119.775,-406.923,0,0,1,3.50,A2256W000748
50,-119.532,-406.486,0,0,1,3.50,A2256W000748
51,-119.289,-406.049,0,0,1,3.50,A2256W000748
52,-119.046,-405.612,0,0,1,3.50,A2256W000748
53,-118.803,-405.175,0,0,1,3.50,A2256W000748
54,-118.560,-404.738,0,0,1,3.50,A2256W000748
55,-118.317,-404.301,0,0,1,3.50,A2256W000748
56,-118.074,-403.865,0,0,1,3.50,A2256W000748
57,-117.830,-403.428,0,0,1,3.50,A2256W000748
58,-117.587,-402.991,0,0,1,3.50,A2256W000748
59,-117.343,-402.555,0,0,1,3.50,A2256W000748
60,-117.100,-402.118,0,0,1,3.50,A2256W000748
61,-116.856,-401.681,0,0,1,3.50,A2256W000748
62,-116.613,-401.245,0,0,1,3.50,A2256W000748
63,-116.370,-400.808,0,0,1,3.50,A2256W000748
64,-116.127,-400.370,0,0,1,3.50,A2256W000748
65,-115.884,-399.933,0,0,1,3.50,A2256W000748
66,-115.642,-399.496,0,0,1,3.50,A2256W000748
67,-115.399,-399.059,0,0,1,3.50,A2256W000748
68,-115.156,-398.622,0,0,1,3.50,A2256W000748
69,-114.914,-398.185,0,0,1,3.50,A2256W000748
70,-114.671,-397.748,0,0,1,3.50,A2256W000748
71,-114.428,-397.311,0,0,1,3.50,A2256W000748
72,-114.185,-396.874,0,0,1,3.50,A2256W000748
73,-113.942,-396.437,0,0,1,3.50,A2256W000748
74,-113.699,-396.000,0,0,1,3.50,A2256W000748
75,-113.456,-395.563,0,0,1,3.50,A2256W000748
76,-113.211,-395.127,0,0,1,3.50,A2256W000748
77,-112.966,-394.691,0,0,1,3.50,A2256W000748
78,-112.721,-394.255,0,0,1,3.50,A2256W000748
79,-112.477,-393.819,0,0,1,3.50,A2256W000748
80,-112.232,-393.383,0,0,1,3.50,A2256W000748
81,-111.987,-392.947,0,0,1,3.50,A2256W000748
82,-111.742,-392.511,0,0,1,3.50,A2256W000748
83,-111.500,-392.074,0,0,1,3.50,A2256W000748
84,-111.258,-391.636,0,0,1,3.50,A2256W000748
85,-111.015,-391.199,0,0,1,3.50,A2256W000748
86,-110.773,-390.761,0,0,1,3.50,A2256W000748
87,-110.531,-390.324,0,0,1,3.50,A2256W000748
88,-110.289,-389.887,0,0,1,3.50,A2256W000748
89,-110.046,-389.449,0,0,1,3.50,A2256W000748
90,-109.804,-389.012,0,0,1,3.50,A2256W000748
91,-109.562,-388.574,0,0,1,3.50,A2256W000748
92,-109.321,-388.136,0,0,1,3.50,A2256W000748
93,-109.079,-387.698,0,0,1,3.50,A2256W000748
94,-108.838,-387.261,0,0,1,3.50,A2256W000748
95,-108.597,-386.823,0,0,1,3.50,A2256W000748
96,-108.356,-386.385,0,0,1,3.50,A2256W000748
97,-108.114,-385.947,0,0,1,3.50,A2256W000748
98,-107.872,-385.509,0,0,1,3.50,A2256W000748
99,-107.629,-385.072,0,0,1,3.50,A2256W000748
100,-107.387,-384.635,0,0,1,3.50,A2256W000748
101,-107.144,-384.198,0,0,1,3.50,A2256W000748
102,-106.901,-383.761,0,0,1,3.50,A2256W000748
103,-106.659,-383.324,0,0,1,3.50,A2256W000748
104,-106.416,-382.886,0,0,1,3.50,A2256W000748
105,-106.173,-382.449,0,0,1,3.50,A2256W000748
106,-105.931,-382.012,0,0,1,3.50,A2256W000748
107,-105.689,-381.574,0,0,1,3.50,A2256W000748
108,-105.448,-381.136,0,0,1,3.50,A2256W000748
109,-105.207,-380.698,0,0,1,3.50,A2256W000748
110,-104.966,-380.260,0,0,1,3.50,A2256W000748
111,-104.724,-379.822,0,0,1,3.50,A2256W000748
112,-104.483,-379.384,0,0,1,3.50,A2256W000748
113,-104.242,-378.946,0,0,1,3.50,A2256W000748
114,-104.001,-378.508,0,0,1,3.50,A2256W000748
115,-103.756,-378.072,0,0,1,3.50,A2256W000748
116,-103.511,-377.637,0,0,1,3.50,A2256W000748
117,-103.266,-377.201,0,0,1,3.50,A2256W000748
118,-103.022,-376.765,0,0,1,3.50,A2256W000748
119,-102.777,-376.329,0,0,1,3.50,A2256W000748
120,-102.532,-375.893,0,0,1,3.50,A2256W000748
121,-102.287,-375.457,0,0,1,3.50,A2256W000748
122,-102.042,-375.021,0,0,1,3.50,A2256W000748
123,-101.800,-374.583,0,0,1,3.50,A2256W000748
124,-101.558,-374.146,0,0,1,3.50,A2256W000748
125,-101.316,-373.708,0,0,1,3.50,A2256W000748
126,-101.074,-373.271,0,0,1,3.50,A2256W000748
127,-100.832,-372.833,0,0,1,3.50,A2256W000748
128,-100.590,-372.396,0,0,1,3.50,A2256W000748
129,-100.348,-371.958,0,0,1,3.50,A2256W000748
130,-100.106,-371.521,0,0,1,3.50,A2256W000748
131,-99.856,-371.088,0,0,1,3.50,A2256W000748
132,-99.605,-370.655,0,0,1,3.50,A2256W000748
133,-99.355,-370.222,0,0,1,3.50,A2256W000748
134,-99.105,-369.789,0,0,1,3.50,A2256W000748
135,-98.854,-369.356,0,0,1,3.50,A2256W000748
136,-98.604,-368.924,0,0,1,3.50,A2256W000748
137,-98.354,-368.491,0,0,1,3.50,A2256W000748
138,-98.104,-368.058,0,0,1,3.50,A2256W000748
139,-97.861,-367.621,0,0,1,3.50,A2256W000748
140,-97.618,-367.184,0,0,1,3.50,A2256W000748
141,-97.375,-366.747,0,0,1,3.50,A2256W000748
142,-97.133,-366.309,0,0,1,3.50,A2256W000748
143,-96.890,-365.872,0,0,1,3.50,A2256W000748
144,-96.647,-365.435,0,0,1,3.50,A2256W000748
145,-96.405,-364.998,0,0,1,3.50,A2256W000748
146,-96.342,-364.885,0,0,1,3.50,A2256W000338
147,-96.123,-364.436,0,0,1,3.50,A2256W000182
148,-95.904,-363.986,0,0,1,3.50,A2256W000182
149,-95.686,-363.536,0,0,1,3.50,A2256W000182
150,-95.498,-363.073,0,0,1,3.50,A2256W000182
151,-95.310,-362.610,0,0,1,3.50,A2256W000182
152,-95.121,-362.146,0,0,1,3.50,A2256W000182
153,-94.975,-361.668,0,0,1,3.50,A2256W000182
154,-94.829,-361.190,0,0,1,3.50,A2256W000182
155,-94.729,-360.700,0,0,1,3.50,A2256W000182
156,-94.630,-360.210,0,0,1,3.50,A2256W000182
157,-94.560,-359.715,0,0,1,3.50,A2256W000182
158,-94.490,-359.220,0,0,1,3.50,A2256W000182
159,-94.466,-358.721,0,0,1,3.50,A2256W000182
160,-94.442,-358.221,0,0,1,3.50,A2256W000182
161,-94.449,-357.721,0,0,1,3.50,A2256W000182
162,-94.455,-357.221,0,0,1,3.50,A2256W000182
163,-94.507,-356.724,0,0,1,3.50,A2256W000182
164,-94.559,-356.227,0,0,1,3.50,A2256W000182
165,-94.611,-355.729,0,0,1,3.50,A2256W000182
166,-94.709,-355.239,0,0,1,3.50,A2256W000182
167,-94.806,-354.749,0,0,1,3.50,A2256W000182
168,-94.950,-354.270,0,0,1,3.50,A2256W000182
169,-95.094,-353.791,0,0,1,3.50,A2256W000182
170,-95.266,-353.322,0,0,1,3.50,A2256W000182
171,-95.439,-352.853,0,0,1,3.50,A2256W000182
172,-95.654,-352.401,0,0,1,3.50,A2256W000182
173,-95.869,-351.950,0,0,1,3.50,A2256W000182
174,-96.111,-351.512,0,0,1,3.50,A2256W000182
175,-96.353,-351.075,0,0,1,3.50,A2256W000182
176,-96.634,-350.661,0,0,1,3.50,A2256W000182
177,-96.915,-350.248,0,0,1,3.50,A2256W000182
178,-97.196,-349.834,0,0,1,3.50,A2256W000182
179,-97.514,-349.448,0,0,1,3.50,A2256W000182
180,-97.858,-349.085,0,0,1,3.50,A2256W000182
181,-98.201,-348.722,0,0,1,3.50,A2256W000182
182,-98.545,-348.358,0,0,1,3.50,A2256W000182
183,-98.917,-348.024,0,0,1,3.50,A2256W000182
184,-99.289,-347.690,0,0,1,3.50,A2256W000182
185,-99.692,-347.395,0,0,1,3.50,A2256W000182
186,-100.096,-347.100,0,0,1,3.50,A2256W000182
187,-100.518,-346.831,0,0,1,3.50,A2256W000182
188,-100.939,-346.563,0,0,1,3.50,A2256W000182
189,-101.367,-346.304,0,0,1,3.50,A2256W000182
190,-101.795,-346.044,0,0,1,3.50,A2256W000182
191,-102.072,-345.874,0,0,1,3.50,A2256W000325
192,-102.515,-345.641,0,0,1,3.50,A2256W000329
193,-102.957,-345.409,0,0,1,3.50,A2256W000329
194,-103.400,-345.176,0,0,1,3.50,A2256W000329
195,-103.843,-344.944,0,0,1,3.50,A2256W000329
196,-104.285,-344.712,0,0,1,3.50,A2256W000329
197,-104.728,-344.480,0,0,1,3.50,A2256W000329
198,-105.171,-344.248,0,0,1,3.50,A2256W000329
199,-105.614,-344.016,0,0,1,3.50,A2256W000329
200,-106.057,-343.784,0,0,1,3.50,A2256W000329
201,-106.500,-343.553,0,0,1,3.50,A2256W000329
202,-106.943,-343.321,0,0,1,3.50,A2256W000329
203,-107.386,-343.089,0,0,1,3.50,A2256W000329
204,-107.829,-342.857,0,0,1,3.50,A2256W000329
205,-108.271,-342.624,0,0,1,3.50,A2256W000329
206,-108.713,-342.391,0,0,1,3.50,A2256W000329
207,-109.155,-342.157,0,0,1,3.50,A2256W000329
208,-109.597,-341.923,0,0,1,3.50,A2256W000329
209,-110.039,-341.689,0,0,1,3.50,A2256W000329
210,-110.481,-341.455,0,0,1,3.50,A2256W000329
211,-110.922,-341.220,0,0,1,3.50,A2256W000329
212,-111.364,-340.985,0,0,1,3.50,A2256W000329
213,-111.805,-340.751,0,0,1,3.50,A2256W000329
214,-112.247,-340.516,0,0,1,3.50,A2256W000329
215,-112.688,-340.281,0,0,1,3.50,A2256W000329
216,-113.129,-340.046,0,0,1,3.50,A2256W000329
217,-113.570,-339.809,0,0,1,3.50,A2256W000329
218,-114.010,-339.571,0,0,1,3.50,A2256W000329
219,-114.449,-339.332,0,0,1,3.50,A2256W000329
220,-114.888,-339.093,0,0,1,3.50,A2256W000329
221,-115.325,-338.851,0,0,1,3.50,A2256W000329
222,-115.763,-338.609,0,0,1,3.50,A2256W000329
223,-116.199,-338.365,0,0,1,3.50,A2256W000329
224,-116.634,-338.119,0,0,1,3.50,A2256W000329
225,-117.069,-337.872,0,0,1,3.50,A2256W000329
