waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
0,-131.689797550614,-428.331022937782,28.5439602819543,A2256W000748,60347,-131.68979755061446,-428.3310229377821,28.543960281954277,4.687428401686771e-13
1,-131.449671443993,-427.892457882326,28.5443411390138,A2256W000748,60348,-131.44967144399345,-427.8924578823263,28.544341139013788,5.362597410144533e-13
2,-131.209545337372,-427.453892826871,28.5447219960733,A2256W000748,60349,-131.20954533737245,-427.4538928268705,28.5447219960733,6.844854043943255e-13
3,-130.969419230751,-427.015327771415,28.5451028531328,A2256W000748,60350,-130.96941923075144,-427.0153277714147,28.54510285313281,5.362597410144533e-13
4,-130.72929312413,-426.576762715959,28.5454837101923,A2256W000748,60351,-130.72929312413044,-426.5767627159589,28.545483710192322,4.300985082870044e-13
5,-130.489167017509,-426.138197660503,28.5458645672518,A2256W000748,60352,-130.48916701750943,-426.1381976605031,28.545864567251833,4.412235823639328e-13
6,-130.244995733689,-425.701872438079,28.5450372616741,A2256W000748,60353,-130.24499573368945,-425.7018724380793,28.545037261674103,5.362597410144533e-13
7,-130.000824449869,-425.265547215655,28.5442099560964,A2256W000748,60354,-130.00082444986947,-425.2655472156555,28.544209956096374,7.036884655428791e-13
8,-129.756653166049,-424.829221993232,28.5433826505186,A2256W000748,60355,-129.7566531660495,-424.82922199323167,28.543382650518645,5.914174621092574e-13
9,-129.51248188223,-424.392896770808,28.5425553449409,A2256W000748,60356,-129.5124818822295,-424.39289677080785,28.542555344940915,5.123796534383003e-13
10,-129.26831059841,-423.956571548384,28.5417280393632,A2256W000748,60357,-129.26831059840953,-423.95657154838403,28.541728039363186,4.865013002195067e-13
11,-129.02413931459,-423.52024632596,28.5409007337855,A2256W000748,60358,-129.02413931458955,-423.5202463259602,28.540900733785456,5.084229945850415e-13
12,-128.77996803077,-423.083921103536,28.5400734282077,A2256W000748,60359,-128.77996803076957,-423.0839211035364,28.540073428207727,5.831647208845877e-13
13,-128.53579674695,-422.647595881113,28.53924612263,A2256W000748,60360,-128.5357967469496,-422.6475958811126,28.539246122629997,5.831647208845877e-13
14,-128.291616554344,-422.211277995293,28.5409002243629,A2256W000748,60361,-128.29161655434382,-422.21127799529256,28.540900224362908,4.856703836433968e-13
15,-128.047436361738,-421.774960109473,28.5425543260958,A2256W000748,60362,-128.04743636173805,-421.77496010947254,28.542554326095818,4.582862941503293e-13
16,-127.803256169132,-421.338642223653,28.5442084278287,A2256W000748,60363,-127.8032561691323,-421.3386422236525,28.54420842782873,5.439249892164252e-13
17,-127.559075976527,-420.902324337833,28.5458625295616,A2256W000748,60364,-127.55907597652654,-420.9023243378325,28.54586252956164,6.844854043943255e-13
18,-127.314895783921,-420.466006452012,28.5475166312945,A2256W000748,60365,-127.31489578392079,-420.4660064520125,28.54751663129455,5.542233338928781e-13
19,-127.070715591315,-420.029688566192,28.5491707330275,A2256W000748,60366,-127.07071559131504,-420.0296885661925,28.54917073302746,4.567413805031093e-13
20,-126.826535398709,-419.593370680372,28.5508248347604,A2256W000748,60367,-126.82653539870928,-419.59337068037246,28.55082483476037,5.362597410144533e-13
21,-126.582355206104,-419.157052794552,28.5524789364933,A2256W000748,60368,-126.58235520610353,-419.15705279455244,28.55247893649328,6.532357550987174e-13
22,-126.339841402833,-418.71980352671,28.5528436210525,A2256W000748,60369,-126.33984140283285,-418.71980352671045,28.55284362105251,4.808647507754992e-13
23,-126.097327599562,-418.282554258868,28.5532083056117,A2256W000748,60370,-126.09732759956216,-418.28255425886846,28.55320830561174,4.808647507754992e-13
