# 대회 체크포인트 (2026-08-13 대회측 제공)
#
# 판정 : 각 포인트 위치 기준 **반경 3m 이내**로 통과해야 함
# 좌표 : MORAI 맵 로컬좌표(ENU). UTM52N 에서 (302595.0, 4124145.0) 을 뺀 값
# 경로위치 : 대회 배포 전역경로 시작점(0m)부터 누적 거리. 전체 2184.6m
# 이격 : 체크포인트에서 배포 경로까지의 최단 거리
#
# ★ 16개 전부 이격 0.00m — 배포 경로가 체크포인트를 지나도록 그어져 있다.
#   경로를 따라가기만 하면 전부 통과한다. 벗어나면 놓친다.
#
# ⚠️ 반경 3m 이고 차로 폭이 3.51m 다. 옆 차로로 완전히 옮기면 반경을 벗어난다.
#   즉 체크포인트 지점에서는 반드시 원래 차로에 있어야 한다.
#
# 규정: 체크포인트 불연속 통과 -> 이전 체크포인트 복귀 + 15초 패널티
#       미완주팀 순위는 ① 체크포인트 달성도 ② 총 주행시간 순
#
# 생성 : 2026-08-13

# 경로위치[m]  이름       x            y            z         yaw[deg]     이격[m]  직전CP간격[m]
# ------------------------------------------------------------------------------------------------
      0.0    START/END   -131.6898    -428.3310    28.544    61.298126    0.00        0.0
     72.6    1            -96.3419    -364.8851    28.539    64.052734    0.00       72.6
    186.3    2           -104.7159    -275.1443    28.488    60.959839    0.00      113.7
    237.4    3            -79.9685    -230.3943    28.401    61.097733    0.00       51.1
    346.7    4            -59.8847    -124.5575    28.381    90.095718    0.00      109.3
    471.1    5            -60.3486      -0.2167    28.383    90.321304    0.00      124.3
    580.9    6            -41.7007      98.7327    28.359     0.456360    0.00      109.8
    635.1    7              2.9028     114.9422    28.430    91.440628    0.00       54.2
    858.5    8            -99.4417     291.2058    28.380    90.260666    0.00      223.4
    930.6    9            -65.3282     342.2530    28.484     3.828613    0.00       72.1
   1118.7    10            62.0739     256.4949    28.269   -89.012939    0.00      188.1
   1286.2    11            66.8850      89.1979    28.299   -89.312223    0.00      167.4
   1593.6    12            75.4142    -217.8551    28.382   -94.612335    0.00      307.4
   1741.7    13            70.2141    -365.7485    28.302   -90.049835    0.00      148.1
   1859.6    14            43.7615    -476.4109    28.294  -137.400208    0.00      117.9
   1996.7    15           -74.8607    -544.5780    28.429  -153.528732    0.00      137.1

# 간격 통계: 평균 133.1m  최소 51.1m  최대 307.4m(CP11->CP12, 고주로)
